slug,date,open,high,low,close,currency
EUR/BRL,10/06/2005,2.9048,2.9048,2.9048,2.9048,BRL
EUR/BRL,13/06/2005,2.9048,2.9048,2.9048,2.8297,BRL
EUR/BRL,14/06/2005,2.8183,2.8183,2.8183,2.8183,BRL
EUR/BRL,15/06/2005,2.7802,2.7802,2.7802,2.7802,BRL
EUR/BRL,16/06/2005,2.8107,2.8107,2.8107,2.8107,BRL
EUR/BRL,17/06/2005,2.7814,2.7814,2.7814,2.7814,BRL
EUR/BRL,20/06/2005,2.7656,2.7656,2.7656,2.7656,BRL
EUR/BRL,21/06/2005,2.7423,2.7423,2.7423,2.7423,BRL
EUR/BRL,22/06/2005,2.7233,2.7233,2.7233,2.7233,BRL
EUR/BRL,23/06/2005,2.733,2.733,2.733,2.733,BRL
EUR/BRL,24/06/2005,2.7462,2.7462,2.7462,2.7462,BRL
EUR/BRL,27/06/2005,2.7462,2.7555,2.7462,2.7555,BRL
EUR/BRL,28/06/2005,2.7555,2.7555,2.7242,2.7242,BRL
EUR/BRL,29/06/2005,2.7035,2.7035,2.7035,2.7035,BRL
EUR/BRL,30/06/2005,2.6894,2.6894,2.6894,2.6894,BRL
EUR/BRL,01/07/2005,2.674,2.674,2.674,2.674,BRL
EUR/BRL,04/07/2005,2.6351,2.6351,2.6351,2.6351,BRL
EUR/BRL,05/07/2005,2.6633,2.6633,2.6633,2.6633,BRL
EUR/BRL,06/07/2005,2.6807,2.6807,2.6807,2.6807,BRL
EUR/BRL,07/07/2005,2.7258,2.7258,2.7258,2.7258,BRL
EUR/BRL,08/07/2005,2.6805,2.6805,2.6805,2.6805,BRL
EUR/BRL,11/07/2005,2.7001,2.7001,2.7001,2.7001,BRL
EUR/BRL,12/07/2005,2.6985,2.6985,2.6985,2.6985,BRL
EUR/BRL,13/07/2005,2.7024,2.7024,2.7024,2.7024,BRL
EUR/BRL,14/07/2005,2.693,2.693,2.693,2.693,BRL
EUR/BRL,15/07/2005,2.693,2.693,2.693,2.6752,BRL
EUR/BRL,18/07/2005,2.6689,2.6689,2.6689,2.6689,BRL
EUR/BRL,19/07/2005,2.648,2.648,2.648,2.648,BRL
EUR/BRL,20/07/2005,2.6794,2.6794,2.6794,2.6794,BRL
EUR/BRL,21/07/2005,2.6895,2.6895,2.6895,2.6895,BRL
EUR/BRL,22/07/2005,2.6895,2.6895,2.6895,2.7257,BRL
EUR/BRL,25/07/2005,2.7451,2.7451,2.7451,2.7451,BRL
EUR/BRL,26/07/2005,2.7451,2.7451,2.7451,2.8369,BRL
EUR/BRL,27/07/2005,2.7668,2.7668,2.7668,2.7668,BRL
EUR/BRL,28/07/2005,2.7956,2.7956,2.7956,2.7956,BRL
EUR/BRL,29/07/2005,2.7601,2.7601,2.7601,2.7601,BRL
EUR/BRL,01/08/2005,2.7591,2.7591,2.7591,2.7591,BRL
EUR/BRL,02/08/2005,2.7466,2.7466,2.7466,2.7466,BRL
EUR/BRL,03/08/2005,2.7273,2.7273,2.7273,2.7273,BRL
EUR/BRL,04/08/2005,2.7103,2.7103,2.7103,2.7103,BRL
EUR/BRL,05/08/2005,2.7028,2.7028,2.7028,2.7028,BRL
EUR/BRL,08/08/2005,2.7103,2.7103,2.7103,2.7103,BRL
EUR/BRL,09/08/2005,2.7298,2.8546,2.7298,2.8403,BRL
EUR/BRL,10/08/2005,2.8389,2.848,2.8024,2.8198,BRL
EUR/BRL,11/08/2005,2.8203,2.9395,2.8187,2.9385,BRL
EUR/BRL,12/08/2005,2.9388,2.9794,2.9201,2.9569,BRL
