slug,date,open,high,low,close,currency
EUR/AED,01/12/2014,4.569,4.591,4.5118,4.5118,AED
EUR/AED,02/12/2014,4.5778,4.5778,4.5507,4.5782,AED
EUR/AED,03/12/2014,4.5465,4.548,4.5163,4.5472,AED
EUR/AED,04/12/2014,4.5209,4.5655,4.5137,4.5196,AED
EUR/AED,05/12/2014,4.5471,4.5473,4.5071,4.5469,AED
EUR/AED,08/12/2014,4.5099,4.5122,4.496,4.5099,AED
EUR/AED,09/12/2014,4.5194,4.5681,4.5131,4.5225,AED
EUR/AED,10/12/2014,4.546,4.5632,4.5388,4.548,AED
EUR/AED,11/12/2014,4.5851,4.5868,4.542,4.5776,AED
EUR/AED,12/12/2014,4.5499,4.5789,4.5479,4.5496,AED
EUR/AED,15/12/2014,4.5728,4.578,4.5588,4.5728,AED
EUR/AED,16/12/2014,4.569,4.6143,4.5657,4.5688,AED
EUR/AED,17/12/2014,4.594,4.5943,4.5499,4.5906,AED
EUR/AED,18/12/2014,4.5253,4.5326,4.5036,4.5291,AED
EUR/AED,19/12/2014,4.5095,4.5146,4.5005,4.5102,AED
EUR/AED,22/12/2014,4.4909,4.5038,4.4344,4.4909,AED
EUR/AED,23/12/2014,4.4885,4.4947,4.4662,4.4867,AED
EUR/AED,24/12/2014,4.4693,4.4848,4.4682,4.4691,AED
EUR/AED,25/12/2014,4.4693,4.4848,4.4682,4.4691,AED
EUR/AED,26/12/2014,4.4765,4.4765,4.4765,4.4765,AED
EUR/AED,29/12/2014,4.4765,4.4827,4.4106,4.4765,AED
EUR/AED,30/12/2014,4.4643,4.4741,4.4516,4.4623,AED
EUR/AED,31/12/2014,4.4644,4.4669,4.4442,4.4647,AED
EUR/AED,01/01/2015,4.4411,4.4411,4.3944,4.4411,AED
EUR/AED,02/01/2015,4.4411,4.4411,4.4104,4.4411,AED
EUR/AED,05/01/2015,4.4064,4.4064,4.3651,4.4064,AED
EUR/AED,06/01/2015,4.3835,4.393,4.3635,4.3835,AED
EUR/AED,07/01/2015,4.357,4.3642,4.335,4.3602,AED
EUR/AED,08/01/2015,4.3464,4.3464,4.3165,4.3464,AED
EUR/AED,09/01/2015,4.2545,4.3435,4.2545,4.3278,AED
EUR/AED,12/01/2015,4.346,4.3526,4.3293,4.346,AED
EUR/AED,13/01/2015,4.3451,4.3525,4.3168,4.3418,AED
EUR/AED,14/01/2015,4.3247,4.3455,4.3078,4.3216,AED
